会员ID,性别,会员等级,注册渠道,年龄,职业,所在城市,家庭阶段,是否付费会员
A001,女,银卡,微信小程序,34,服务业,其他,二人世界,否
A002,男,银卡,微信小程序,47,企业职员,广州,三口之家,否
A003,女,黑金,微信小程序,37,公务员,武汉,三口之家,是
A004,女,银卡,微信小程序,44,企业职员,青岛,单身青年,否
A005,女,普通,社群裂变,28,自由职业,武汉,多口之家,否
A006,女,普通,线下扫码,28,其他,重庆,三口之家,否
A007,男,金卡,线下扫码,46,全职主妇,上海,三口之家,是
A008,女,黑金,地推活动,43,企业职员,上海,单身青年,是
A009,男,金卡,App自然注册,43,企业职员,北京,三口之家,否
A010,女,普通,线下扫码,38,企业职员,苏州,三口之家,否
A011,女,银卡,App自然注册,54,其他,天津,单身青年,否
A012,女,金卡,线下扫码,55,自由职业,重庆,二人世界,是
A013,男,金卡,App自然注册,40,互联网从业,西安,三口之家,是
A014,男,金卡,微信小程序,40,企业职员,杭州,单身青年,是
A015,男,银卡,App自然注册,33,服务业,广州,单身青年,否
A016,男,银卡,App自然注册,45,企业职员,武汉,三口之家,否
A017,男,金卡,微信小程序,43,服务业,上海,多口之家,是
A018,女,黑金,线下扫码,38,学生,上海,三口之家,是
A019,男,普通,外卖平台导流,33,企业职员,上海,二人世界,否
A020,男,银卡,外卖平台导流,47,全职主妇,广州,三口之家,否
A021,女,金卡,微信小程序,52,企业职员,西安,三口之家,是
A022,男,银卡,社群裂变,41,全职主妇,苏州,单身青年,否
A023,男,银卡,微信小程序,38,企业职员,北京,二人世界,否
A024,男,银卡,微信小程序,41,自由职业,北京,单身青年,否
A025,女,金卡,社群裂变,45,服务业,北京,三口之家,是
A026,男,黑金,微信小程序,51,互联网从业,郑州,三口之家,是
A027,女,银卡,微信小程序,55,企业职员,苏州,三口之家,否
A028,女,金卡,微信小程序,40,互联网从业,北京,多口之家,是
A029,女,普通,微信小程序,46,企业职员,上海,三口之家,否
A030,男,金卡,App自然注册,34,互联网从业,深圳,三口之家,是
A031,男,银卡,线下扫码,32,互联网从业,其他,二人世界,否
A032,女,银卡,外卖平台导流,42,互联网从业,南京,多口之家,否
A033,女,黑金,社群裂变,37,企业职员,其他,银发族,是
A034,女,银卡,App自然注册,48,自由职业,其他,三口之家,否
A035,女,银卡,外卖平台导流,39,学生,上海,多口之家,否
A036,女,银卡,微信小程序,41,互联网从业,南京,单身青年,否
A037,男,银卡,微信小程序,35,全职主妇,深圳,单身青年,否
A038,女,银卡,微信小程序,38,企业职员,北京,三口之家,否
A039,女,普通,地推活动,28,互联网从业,郑州,三口之家,否
A040,女,金卡,社群裂变,37,全职主妇,深圳,银发族,否
A041,男,金卡,微信小程序,38,全职主妇,北京,单身青年,否
A042,女,金卡,外卖平台导流,53,企业职员,成都,银发族,是
A043,女,金卡,线下扫码,35,自由职业,杭州,三口之家,是
A044,男,黑金,微信小程序,48,企业职员,北京,单身青年,是
A045,男,金卡,社群裂变,36,企业职员,深圳,二人世界,否
A046,男,金卡,微信小程序,44,企业职员,广州,银发族,是
A047,男,普通,微信小程序,47,其他,其他,三口之家,否
A048,女,金卡,社群裂变,49,全职主妇,上海,三口之家,是
A049,男,金卡,社群裂变,28,企业职员,成都,单身青年,是
A050,女,银卡,微信小程序,44,自由职业,广州,二人世界,否
A051,女,金卡,线下扫码,40,互联网从业,其他,多口之家,否
A052,女,普通,线下扫码,41,企业职员,深圳,三口之家,否
A053,女,金卡,App自然注册,53,企业职员,上海,单身青年,否
A054,男,金卡,微信小程序,35,企业职员,深圳,银发族,是
A055,女,黑金,微信小程序,32,学生,武汉,三口之家,是
A056,男,普通,社群裂变,45,全职主妇,武汉,二人世界,否
A057,女,银卡,App自然注册,38,服务业,北京,三口之家,否
A058,男,金卡,微信小程序,42,自由职业,长沙,三口之家,否
A059,男,普通,微信小程序,53,互联网从业,杭州,银发族,否
A060,男,金卡,App自然注册,34,自由职业,武汉,单身青年,是
A061,女,银卡,微信小程序,28,其他,上海,银发族,否
A062,男,普通,线下扫码,55,全职主妇,苏州,三口之家,否
A063,女,银卡,外卖平台导流,48,企业职员,上海,多口之家,否
A064,男,银卡,社群裂变,35,其他,苏州,单身青年,否
A065,男,银卡,微信小程序,48,学生,上海,单身青年,否
A066,男,银卡,微信小程序,47,学生,深圳,三口之家,否
A067,女,金卡,微信小程序,37,服务业,成都,二人世界,是
A068,女,黑金,App自然注册,34,互联网从业,杭州,三口之家,是
A069,女,金卡,社群裂变,51,全职主妇,上海,三口之家,否
A070,女,黑金,线下扫码,44,自由职业,上海,三口之家,是
A071,女,普通,社群裂变,36,公务员,成都,多口之家,否
A072,女,黑金,线下扫码,43,服务业,其他,二人世界,是
A073,男,金卡,微信小程序,36,企业职员,天津,二人世界,是
A074,女,金卡,微信小程序,29,全职主妇,广州,多口之家,是
A075,男,金卡,社群裂变,38,其他,武汉,单身青年,是
A076,女,银卡,线下扫码,37,企业职员,北京,二人世界,否
A077,男,普通,社群裂变,32,其他,其他,单身青年,否
A078,女,金卡,App自然注册,40,全职主妇,其他,三口之家,是
A079,女,银卡,外卖平台导流,55,学生,广州,三口之家,否
A080,男,银卡,外卖平台导流,42,全职主妇,武汉,银发族,否
A081,男,普通,App自然注册,38,企业职员,成都,二人世界,否
A082,女,黑金,外卖平台导流,46,企业职员,北京,三口之家,是
A083,男,金卡,App自然注册,35,公务员,其他,三口之家,是
A084,男,黑金,微信小程序,50,企业职员,上海,三口之家,是
A085,女,金卡,社群裂变,51,全职主妇,南京,三口之家,否
A086,女,黑金,外卖平台导流,35,全职主妇,苏州,二人世界,是
A087,女,银卡,App自然注册,28,自由职业,郑州,单身青年,否
A088,女,金卡,外卖平台导流,42,服务业,成都,单身青年,是
A089,男,银卡,微信小程序,47,其他,广州,多口之家,否
A090,女,金卡,线下扫码,40,全职主妇,苏州,三口之家,否
A091,女,普通,外卖平台导流,42,企业职员,重庆,多口之家,否
A092,男,黑金,微信小程序,49,企业职员,深圳,二人世界,是
A093,女,银卡,App自然注册,40,全职主妇,成都,三口之家,否
A094,男,黑金,微信小程序,47,公务员,南京,三口之家,是
A095,男,银卡,App自然注册,44,学生,苏州,三口之家,否
A096,男,金卡,微信小程序,32,企业职员,深圳,多口之家,是
A097,女,普通,线下扫码,41,全职主妇,苏州,单身青年,否
A098,女,普通,地推活动,36,自由职业,西安,二人世界,否
A099,男,普通,社群裂变,35,互联网从业,北京,多口之家,否
A100,男,金卡,微信小程序,55,公务员,上海,单身青年,是
A101,女,普通,微信小程序,48,全职主妇,成都,单身青年,否
A102,男,金卡,微信小程序,47,全职主妇,上海,多口之家,否
A103,男,金卡,线下扫码,28,企业职员,成都,三口之家,是
A104,女,金卡,微信小程序,36,互联网从业,广州,多口之家,是
A105,女,金卡,微信小程序,39,自由职业,重庆,银发族,否
A106,女,普通,外卖平台导流,38,全职主妇,武汉,三口之家,否
A107,女,银卡,线下扫码,28,其他,北京,单身青年,否
A108,女,金卡,外卖平台导流,35,服务业,北京,三口之家,是
A109,男,银卡,微信小程序,39,服务业,北京,三口之家,否
A110,男,银卡,线下扫码,47,自由职业,上海,单身青年,否
A111,女,银卡,App自然注册,42,企业职员,深圳,单身青年,否
A112,男,银卡,微信小程序,28,互联网从业,成都,三口之家,否
A113,男,金卡,外卖平台导流,34,互联网从业,青岛,银发族,是
A114,女,银卡,地推活动,30,其他,杭州,三口之家,否
A115,女,金卡,外卖平台导流,44,企业职员,天津,单身青年,是
A116,女,银卡,App自然注册,46,学生,北京,二人世界,否
A117,男,银卡,微信小程序,51,企业职员,广州,单身青年,否
A118,男,金卡,App自然注册,45,企业职员,郑州,三口之家,是
A119,女,普通,线下扫码,39,服务业,西安,三口之家,否
A120,男,金卡,微信小程序,47,企业职员,郑州,单身青年,是
A121,女,银卡,App自然注册,37,学生,北京,单身青年,否
A122,女,金卡,地推活动,55,互联网从业,杭州,单身青年,否
A123,女,银卡,微信小程序,28,服务业,北京,多口之家,否
A124,女,金卡,微信小程序,38,学生,青岛,三口之家,否
A125,女,普通,外卖平台导流,39,学生,北京,三口之家,否
A126,女,金卡,线下扫码,33,全职主妇,西安,多口之家,是
A127,男,银卡,微信小程序,37,服务业,上海,银发族,否
A128,男,普通,App自然注册,39,自由职业,广州,三口之家,否
A129,女,黑金,微信小程序,34,学生,苏州,三口之家,是
A130,男,金卡,微信小程序,41,全职主妇,深圳,二人世界,是
A131,女,金卡,App自然注册,37,其他,青岛,单身青年,是
A132,男,普通,App自然注册,47,全职主妇,广州,银发族,否
A133,女,普通,线下扫码,28,全职主妇,北京,三口之家,否
A134,女,金卡,社群裂变,49,学生,成都,多口之家,是
A135,女,银卡,微信小程序,55,企业职员,深圳,单身青年,否
A136,女,普通,微信小程序,47,全职主妇,成都,银发族,否
A137,女,普通,微信小程序,47,企业职员,杭州,三口之家,否
A138,女,普通,社群裂变,37,服务业,深圳,三口之家,否
A139,男,金卡,微信小程序,36,全职主妇,青岛,单身青年,是
A140,女,金卡,App自然注册,47,其他,天津,二人世界,否
A141,女,银卡,线下扫码,55,全职主妇,深圳,三口之家,否
A142,女,金卡,微信小程序,39,学生,上海,单身青年,是
A143,男,金卡,微信小程序,38,自由职业,重庆,单身青年,是
A144,女,金卡,地推活动,41,全职主妇,成都,三口之家,是
A145,女,银卡,微信小程序,49,企业职员,上海,三口之家,否
A146,男,银卡,线下扫码,28,企业职员,成都,三口之家,否
A147,女,普通,微信小程序,31,其他,南京,三口之家,否
