日期,年,季度,月,年月,年月排序,星期,是否周末,年月日
2023-01-01,2023,Q1,1,2023-01,202301,周日,是,2023年01月01日
2023-01-02,2023,Q1,1,2023-01,202301,周一,否,2023年01月02日
2023-01-03,2023,Q1,1,2023-01,202301,周二,否,2023年01月03日
2023-01-04,2023,Q1,1,2023-01,202301,周三,否,2023年01月04日
2023-01-05,2023,Q1,1,2023-01,202301,周四,否,2023年01月05日
2023-01-06,2023,Q1,1,2023-01,202301,周五,否,2023年01月06日
2023-01-07,2023,Q1,1,2023-01,202301,周六,是,2023年01月07日
2023-01-08,2023,Q1,1,2023-01,202301,周日,是,2023年01月08日
2023-01-09,2023,Q1,1,2023-01,202301,周一,否,2023年01月09日
2023-01-10,2023,Q1,1,2023-01,202301,周二,否,2023年01月10日
2023-01-11,2023,Q1,1,2023-01,202301,周三,否,2023年01月11日
2023-01-12,2023,Q1,1,2023-01,202301,周四,否,2023年01月12日
2023-01-13,2023,Q1,1,2023-01,202301,周五,否,2023年01月13日
2023-01-14,2023,Q1,1,2023-01,202301,周六,是,2023年01月14日
2023-01-15,2023,Q1,1,2023-01,202301,周日,是,2023年01月15日
2023-01-16,2023,Q1,1,2023-01,202301,周一,否,2023年01月16日
2023-01-17,2023,Q1,1,2023-01,202301,周二,否,2023年01月17日
2023-01-18,2023,Q1,1,2023-01,202301,周三,否,2023年01月18日
2023-01-19,2023,Q1,1,2023-01,202301,周四,否,2023年01月19日
2023-01-20,2023,Q1,1,2023-01,202301,周五,否,2023年01月20日
2023-01-21,2023,Q1,1,2023-01,202301,周六,是,2023年01月21日
2023-01-22,2023,Q1,1,2023-01,202301,周日,是,2023年01月22日
2023-01-23,2023,Q1,1,2023-01,202301,周一,否,2023年01月23日
2023-01-24,2023,Q1,1,2023-01,202301,周二,否,2023年01月24日
2023-01-25,2023,Q1,1,2023-01,202301,周三,否,2023年01月25日
2023-01-26,2023,Q1,1,2023-01,202301,周四,否,2023年01月26日
2023-01-27,2023,Q1,1,2023-01,202301,周五,否,2023年01月27日
2023-01-28,2023,Q1,1,2023-01,202301,周六,是,2023年01月28日
2023-01-29,2023,Q1,1,2023-01,202301,周日,是,2023年01月29日
2023-01-30,2023,Q1,1,2023-01,202301,周一,否,2023年01月30日
2023-01-31,2023,Q1,1,2023-01,202301,周二,否,2023年01月31日
2023-02-01,2023,Q1,2,2023-02,202302,周三,否,2023年02月01日
2023-02-02,2023,Q1,2,2023-02,202302,周四,否,2023年02月02日
2023-02-03,2023,Q1,2,2023-02,202302,周五,否,2023年02月03日
2023-02-04,2023,Q1,2,2023-02,202302,周六,是,2023年02月04日
2023-02-05,2023,Q1,2,2023-02,202302,周日,是,2023年02月05日
2023-02-06,2023,Q1,2,2023-02,202302,周一,否,2023年02月06日
2023-02-07,2023,Q1,2,2023-02,202302,周二,否,2023年02月07日
2023-02-08,2023,Q1,2,2023-02,202302,周三,否,2023年02月08日
2023-02-09,2023,Q1,2,2023-02,202302,周四,否,2023年02月09日
2023-02-10,2023,Q1,2,2023-02,202302,周五,否,2023年02月10日
2023-02-11,2023,Q1,2,2023-02,202302,周六,是,2023年02月11日
2023-02-12,2023,Q1,2,2023-02,202302,周日,是,2023年02月12日
2023-02-13,2023,Q1,2,2023-02,202302,周一,否,2023年02月13日
2023-02-14,2023,Q1,2,2023-02,202302,周二,否,2023年02月14日
2023-02-15,2023,Q1,2,2023-02,202302,周三,否,2023年02月15日
2023-02-16,2023,Q1,2,2023-02,202302,周四,否,2023年02月16日
2023-02-17,2023,Q1,2,2023-02,202302,周五,否,2023年02月17日
2023-02-18,2023,Q1,2,2023-02,202302,周六,是,2023年02月18日
2023-02-19,2023,Q1,2,2023-02,202302,周日,是,2023年02月19日
2023-02-20,2023,Q1,2,2023-02,202302,周一,否,2023年02月20日
2023-02-21,2023,Q1,2,2023-02,202302,周二,否,2023年02月21日
2023-02-22,2023,Q1,2,2023-02,202302,周三,否,2023年02月22日
2023-02-23,2023,Q1,2,2023-02,202302,周四,否,2023年02月23日
2023-02-24,2023,Q1,2,2023-02,202302,周五,否,2023年02月24日
2023-02-25,2023,Q1,2,2023-02,202302,周六,是,2023年02月25日
2023-02-26,2023,Q1,2,2023-02,202302,周日,是,2023年02月26日
2023-02-27,2023,Q1,2,2023-02,202302,周一,否,2023年02月27日
2023-02-28,2023,Q1,2,2023-02,202302,周二,否,2023年02月28日
2023-03-01,2023,Q1,3,2023-03,202303,周三,否,2023年03月01日
2023-03-02,2023,Q1,3,2023-03,202303,周四,否,2023年03月02日
2023-03-03,2023,Q1,3,2023-03,202303,周五,否,2023年03月03日
2023-03-04,2023,Q1,3,2023-03,202303,周六,是,2023年03月04日
2023-03-05,2023,Q1,3,2023-03,202303,周日,是,2023年03月05日
2023-03-06,2023,Q1,3,2023-03,202303,周一,否,2023年03月06日
2023-03-07,2023,Q1,3,2023-03,202303,周二,否,2023年03月07日
2023-03-08,2023,Q1,3,2023-03,202303,周三,否,2023年03月08日
2023-03-09,2023,Q1,3,2023-03,202303,周四,否,2023年03月09日
2023-03-10,2023,Q1,3,2023-03,202303,周五,否,2023年03月10日
2023-03-11,2023,Q1,3,2023-03,202303,周六,是,2023年03月11日
2023-03-12,2023,Q1,3,2023-03,202303,周日,是,2023年03月12日
2023-03-13,2023,Q1,3,2023-03,202303,周一,否,2023年03月13日
2023-03-14,2023,Q1,3,2023-03,202303,周二,否,2023年03月14日
2023-03-15,2023,Q1,3,2023-03,202303,周三,否,2023年03月15日
2023-03-16,2023,Q1,3,2023-03,202303,周四,否,2023年03月16日
2023-03-17,2023,Q1,3,2023-03,202303,周五,否,2023年03月17日
2023-03-18,2023,Q1,3,2023-03,202303,周六,是,2023年03月18日
2023-03-19,2023,Q1,3,2023-03,202303,周日,是,2023年03月19日
2023-03-20,2023,Q1,3,2023-03,202303,周一,否,2023年03月20日
2023-03-21,2023,Q1,3,2023-03,202303,周二,否,2023年03月21日
2023-03-22,2023,Q1,3,2023-03,202303,周三,否,2023年03月22日
2023-03-23,2023,Q1,3,2023-03,202303,周四,否,2023年03月23日
2023-03-24,2023,Q1,3,2023-03,202303,周五,否,2023年03月24日
2023-03-25,2023,Q1,3,2023-03,202303,周六,是,2023年03月25日
2023-03-26,2023,Q1,3,2023-03,202303,周日,是,2023年03月26日
2023-03-27,2023,Q1,3,2023-03,202303,周一,否,2023年03月27日
2023-03-28,2023,Q1,3,2023-03,202303,周二,否,2023年03月28日
2023-03-29,2023,Q1,3,2023-03,202303,周三,否,2023年03月29日
2023-03-30,2023,Q1,3,2023-03,202303,周四,否,2023年03月30日
2023-03-31,2023,Q1,3,2023-03,202303,周五,否,2023年03月31日
2023-04-01,2023,Q2,4,2023-04,202304,周六,是,2023年04月01日
2023-04-02,2023,Q2,4,2023-04,202304,周日,是,2023年04月02日
2023-04-03,2023,Q2,4,2023-04,202304,周一,否,2023年04月03日
2023-04-04,2023,Q2,4,2023-04,202304,周二,否,2023年04月04日
2023-04-05,2023,Q2,4,2023-04,202304,周三,否,2023年04月05日
2023-04-06,2023,Q2,4,2023-04,202304,周四,否,2023年04月06日
2023-04-07,2023,Q2,4,2023-04,202304,周五,否,2023年04月07日
