订单ID,关联事件ID,会员ID,商品ID,门店ID,订单日期,订单金额_元,商品成本_元,毛利_元,促销ID,订单渠道,购买数量,配送时长_分钟,履约时长_分钟
O000001,E0000004,C3458,S059,11,2023-01-01,32.18,18.72,13.46,P01,App到家,1,34,32
O000002,E0000005,C7247,S088,40,2023-01-01,16.41,9.63,6.78,P03,第三方外卖,1,29,24
O000003,E0000009,B2674,S035,36,2023-01-01,15.27,9.5,5.77,P04,门店堂食,1,14,10
O000004,E0000010,B2689,S088,10,2023-01-01,16.52,9.63,6.89,P01,App到家,1,19,16
O000005,E0000011,B1767,S012,29,2023-01-01,84.61,61.36,23.25,P02,App到家,1,19,15
O000006,E0000015,C5471,S096,36,2023-01-01,29.54,15.4,14.14,P02,小程序到家,2,72,57
O000007,E0000026,C3549,S029,33,2023-01-01,75.22,55.68,19.54,P01,门店自提,2,24,22
O000008,E0000033,A101,S009,37,2023-01-01,16.78,8.59,8.19,P02,第三方外卖,2,31,32
O000009,E0000060,C3716,S017,10,2023-01-01,14.76,8.18,6.58,P02,小程序到家,1,29,16
O000010,E0000091,B1524,S061,15,2023-01-01,28.48,17.0,11.48,P01,App到家,1,23,15
O000011,E0000094,B2808,S075,15,2023-01-01,71.42,45.1,26.32,P02,App到家,2,13,15
O000012,E0000101,C1560,S003,13,2023-01-01,9.9,5.38,4.52,P02,第三方外卖,1,43,40
O000013,E0000104,B2652,S042,40,2023-01-01,37.7,26.78,10.92,P07,App到家,3,14,11
O000014,E0000122,C7617,S033,9,2023-01-01,22.3,13.91,8.39,P02,第三方外卖,1,45,34
O000015,E0000127,C3045,S072,5,2023-01-01,18.25,11.86,6.39,P02,App到家,1,12,12
O000016,E0000141,C6667,S004,11,2023-01-01,9.9,2.65,7.25,P07,门店堂食,1,18,15
O000017,E0000142,C8060,S069,1,2023-01-01,23.75,17.4,6.35,P07,小程序到家,1,29,25
O000018,E0000144,C5853,S034,4,2023-01-01,55.14,34.34,20.8,P03,小程序到家,3,12,11
O000019,E0000156,C3911,S011,40,2023-01-01,10.4,18.87,-8.47,P06,门店自提,2,20,10
O000020,E0000168,A130,S016,37,2023-01-01,25.08,14.69,10.39,P06,门店堂食,2,25,19
O000021,E0000211,C6868,S027,8,2023-01-01,31.38,22.42,8.96,P01,App到家,1,38,26
O000022,E0000268,B2882,S007,16,2023-01-01,9.9,2.53,7.37,P02,门店堂食,1,22,15
O000023,E0000269,B2384,S020,36,2023-01-01,35.76,23.54,12.22,P02,门店自提,1,47,35
O000024,E0000273,C1989,S019,17,2023-01-01,27.74,19.61,8.13,P05,门店堂食,1,42,28
O000025,E0000277,C6909,S100,3,2023-01-01,30.31,20.17,10.14,P01,第三方外卖,1,46,30
O000026,E0000300,B0352,S011,11,2023-01-01,15.66,9.44,6.22,P01,App到家,1,26,22
O000027,E0000304,C5406,S034,1,2023-01-01,18.56,11.45,7.11,P01,门店自提,1,18,21
O000028,E0000344,B3579,S004,32,2023-01-01,9.9,2.65,7.25,P04,门店自提,1,29,13
O000029,E0000348,B1648,S043,38,2023-01-01,78.3,48.4,29.9,P01,小程序到家,2,24,13
O000030,E0000361,B2460,S033,29,2023-01-01,22.5,13.91,8.59,P01,门店自提,1,13,10
O000031,E0000364,A222,S100,34,2023-01-01,32.2,20.17,12.03,P03,App到家,1,22,22
O000032,E0000378,C6967,S090,6,2023-01-01,25.82,15.81,10.01,P01,门店自提,1,43,32
O000033,E0000386,A107,S065,8,2023-01-01,30.82,16.48,14.34,P01,小程序到家,2,22,16
O000034,E0000402,B3709,S057,37,2023-01-01,23.73,14.04,9.69,P02,第三方外卖,1,12,10
O000035,E0000410,A406,S061,34,2023-01-01,28.45,17.0,11.45,P02,小程序到家,1,17,12
O000036,E0000418,C5679,S037,21,2023-01-01,96.46,58.24,38.22,P01,门店自提,2,15,17
O000037,E0000420,C0140,S028,18,2023-01-01,28.11,18.82,9.29,P03,门店自提,1,30,32
O000038,E0000454,C7517,S014,13,2023-01-01,33.06,20.77,12.29,P03,门店堂食,2,13,16
O000039,E0000463,B0498,S014,6,2023-01-01,16.63,10.38,6.25,P04,App到家,1,23,15
O000040,E0000471,B0640,S054,26,2023-01-01,81.72,56.16,25.56,P02,App到家,2,14,10
O000041,E0000476,B2819,S065,30,2023-01-01,15.62,8.24,7.38,P04,小程序到家,1,15,13
O000042,E0000477,C2620,S090,5,2023-01-01,51.68,31.61,20.07,P01,App到家,2,44,35
O000043,E0000490,C1420,S067,11,2023-01-01,9.9,4.2,5.7,P04,第三方外卖,2,34,23
O000044,E0000497,C0398,S026,24,2023-01-01,24.83,14.84,9.99,P01,App到家,1,15,20
O000045,E0000498,A148,S097,16,2023-01-01,50.58,29.12,21.46,P05,门店堂食,2,29,22
O000046,E0000504,B0557,S015,9,2023-01-01,133.62,92.72,40.9,P04,门店自提,2,29,21
O000047,E0000507,B3413,S002,28,2023-01-01,9.9,3.3,6.6,P06,App到家,1,29,15
O000048,E0000513,B3002,S073,3,2023-01-01,30.9,19.01,11.89,P01,第三方外卖,2,15,17
O000049,E0000514,C1378,S092,11,2023-01-01,9.9,2.33,7.57,P03,App到家,1,12,10
O000050,E0000515,B0273,S086,14,2023-01-01,59.4,36.48,22.92,P03,第三方外卖,2,30,22
O000051,E0000524,C0159,S008,33,2023-01-01,9.9,3.99,5.91,P01,第三方外卖,1,19,12
O000052,E0000544,C7303,S093,13,2023-01-01,30.64,17.28,13.36,P03,第三方外卖,2,29,17
O000053,E0000557,C7164,S017,26,2023-01-01,14.19,8.18,6.01,P02,门店自提,1,23,18
O000054,E0000566,A522,S043,38,2023-01-01,30.94,24.2,6.74,P07,门店堂食,1,20,17
O000055,E0000582,C2950,S045,18,2023-01-01,34.74,22.0,12.74,P05,App到家,1,25,27
O000056,E0000586,C7165,S021,5,2023-01-01,31.73,21.73,10.0,P03,小程序到家,1,35,25
O000057,E0000587,C4386,S064,21,2023-01-01,18.78,9.88,8.9,P01,小程序到家,1,13,10
O000058,E0000599,C7570,S043,40,2023-01-01,79.62,48.4,31.22,P04,小程序到家,2,29,18
O000059,E0000601,B0305,S045,22,2023-01-01,103.32,66.0,37.32,P06,小程序到家,3,30,24
O000060,E0000602,B1795,S030,33,2023-01-01,45.71,32.49,13.22,P03,App到家,1,18,14
O000061,E0000603,C7805,S023,16,2023-01-01,22.36,14.45,7.91,P05,App到家,1,26,24
O000062,E0000604,B0684,S006,33,2023-01-01,12.62,6.96,5.66,P04,小程序到家,1,16,13
O000063,E0000610,B2951,S045,40,2023-01-01,34.52,22.0,12.52,P03,小程序到家,1,18,20
O000064,E0000616,B1598,S017,34,2023-01-01,11.34,8.18,3.16,P07,门店堂食,1,21,18
O000065,E0000636,C4284,S024,2,2023-01-01,17.98,11.66,6.32,P04,App到家,1,17,12
O000066,E0000647,B2340,S013,6,2023-01-01,19.62,12.6,7.02,P02,小程序到家,1,24,19
O000067,E0000659,B1916,S064,36,2023-01-01,18.28,9.88,8.4,P02,第三方外卖,1,28,26
O000068,E0000671,C3381,S073,15,2023-01-01,31.0,19.01,11.99,P01,第三方外卖,2,25,11
O000069,E0000673,C7898,S006,2,2023-01-01,12.44,6.96,5.48,P03,小程序到家,1,26,26
O000070,E0000698,B1833,S081,40,2023-01-01,29.6,15.6,14.0,P03,小程序到家,2,29,22
O000071,E0000722,B2440,S082,21,2023-01-01,16.85,7.91,8.94,P04,门店堂食,1,15,19
O000072,E0000728,B3747,S018,5,2023-01-02,18.05,10.3,7.75,P01,App到家,1,17,10
O000073,E0000750,B2524,S035,20,2023-01-02,15.64,9.5,6.14,P04,App到家,1,61,41
O000074,E0000808,B1334,S012,29,2023-01-02,87.67,61.36,26.31,P01,App到家,1,15,12
O000075,E0000835,C6057,S083,40,2023-01-02,9.9,5.2,4.7,P04,App到家,1,16,15
O000076,E0000836,B3708,S013,1,2023-01-02,19.26,12.6,6.66,P02,小程序到家,1,27,22
O000077,E0000852,C8055,S052,3,2023-01-02,18.42,10.36,8.06,P04,App到家,1,24,25
O000078,E0000856,B1520,S053,12,2023-01-02,72.29,60.48,11.81,P07,门店堂食,2,28,23
O000079,E0000863,C7706,S073,23,2023-01-02,15.59,9.5,6.09,P04,第三方外卖,1,30,25
O000080,E0000906,C8272,S040,39,2023-01-02,36.94,20.6,16.34,P05,门店自提,2,21,15
O000081,E0000908,C7585,S046,18,2023-01-02,32.6,19.44,13.16,P01,小程序到家,1,18,12
O000082,E0000919,C2223,S096,7,2023-01-02,14.56,7.7,6.86,P02,小程序到家,1,14,12
O000083,E0000941,A540,S058,2,2023-01-02,19.41,11.88,7.53,P03,App到家,1,32,19
O000084,E0000944,C8485,S074,40,2023-01-02,14.73,10.36,4.37,P07,小程序到家,1,23,21
O000085,E0000946,C4493,S057,7,2023-01-02,9.9,14.04,-4.14,P06,App到家,1,16,17
O000086,E0000963,C3607,S015,36,2023-01-02,59.91,46.36,13.55,P02,门店自提,1,23,24
O000087,E0000980,C6861,S008,40,2023-01-02,9.9,3.99,5.91,P03,小程序到家,1,24,19
O000088,E0000989,C8284,S062,29,2023-01-02,63.96,37.08,26.88,P03,第三方外卖,2,30,18
O000089,E0000992,B3672,S088,12,2023-01-02,16.5,9.63,6.87,P02,第三方外卖,1,15,14
O000090,E0001015,B3544,S054,1,2023-01-02,41.3,28.08,13.22,P01,App到家,1,22,22
O000091,E0001029,B2242,S023,25,2023-01-02,60.9,43.34,17.56,P02,门店堂食,3,12,14
O000092,E0001037,C5774,S054,37,2023-01-02,85.6,56.16,29.44,P04,App到家,2,21,20
O000093,E0001038,C6744,S070,31,2023-01-02,21.92,13.08,8.84,P05,门店堂食,1,17,17
O000094,E0001044,C3054,S077,10,2023-01-02,19.46,11.77,7.69,P01,门店自提,1,17,19
O000095,E0001046,C7037,S087,14,2023-01-02,24.52,15.6,8.92,P01,小程序到家,1,24,17
O000096,E0001070,B0756,S096,35,2023-01-02,14.87,7.7,7.17,P01,App到家,1,12,15
O000097,E0001089,B0422,S050,35,2023-01-02,19.26,11.34,7.92,P06,小程序到家,1,21,15
O000098,E0001095,C8269,S002,7,2023-01-02,9.9,3.3,6.6,P03,小程序到家,1,25,26
O000099,E0001109,C8929,S085,33,2023-01-02,12.79,6.7,6.09,P01,App到家,1,30,24
O000100,E0001116,C7794,S036,21,2023-01-02,9.9,18.38,-8.48,P06,门店堂食,1,42,32
O000101,E0001132,A423,S009,5,2023-01-02,16.74,8.59,8.15,P04,App到家,2,56,41
O000102,E0001133,C1849,S029,22,2023-01-02,38.53,27.84,10.69,P01,小程序到家,1,30,30
O000103,E0001135,B1034,S085,25,2023-01-02,12.4,6.7,5.7,P01,门店堂食,1,14,11
O000104,E0001149,C3476,S063,36,2023-01-02,95.38,57.68,37.7,P03,第三方外卖,2,42,27
O000105,E0001170,C0628,S049,9,2023-01-02,21.84,11.97,9.87,P01,小程序到家,1,37,33
